10:34:16 root001 root001 INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( root001, 85.227.154.202, Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36 ) => {inserted_id = 4873}
10:34:16 root001 root001 DELETE data from tables `temp_session` on conditions username LIKE root001
10:34:16 root001 root001 UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2016-05-05 10:34:16) on conditions username = root001
10:34:43 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (gine001) on conditions session_id = 7tm7hdo0gcs0laoe8sctnhitd3
10:37:51 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( thne001, stal001, 1, 0, 2016-05-05, 9.45, 11.10, 1, , gine001,  ) => {inserted_id = 9042}
10:37:51 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( thne001, stal001, 1, 3, 2016-05-05, 11.10, 11.15, 1, , gine001,  ) => {inserted_id = 9043}
10:37:51 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( thne001, stal001, 1, 0, 2016-05-05, 11.15, 23.35, 1, , gine001,  ) => {inserted_id = 9044}
10:37:51 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( thne001, stal001, 1, 0, 2016-05-06, 9.45, 11.10, 1, , gine001,  ) => {inserted_id = 9045}
10:37:51 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( thne001, stal001, 1, 3, 2016-05-06, 11.10, 11.15, 1, , gine001,  ) => {inserted_id = 9046}
10:37:51 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( thne001, stal001, 1, 0, 2016-05-06, 11.15, 22.30, 1, , gine001,  ) => {inserted_id = 9047}
10:37:51 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( thne001, stal001, 1, 3, 2016-05-06, 22.30, 23.35, 1, , gine001,  ) => {inserted_id = 9048}
10:37:51 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( thne001, stal001, 1, 0, 2016-05-07, 9.45, 23.35, 1, , gine001,  ) => {inserted_id = 9049}
10:37:51 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( thne001, stal001, 1, 0, 2016-05-08, 9.45, 23.35, 1, , gine001,  ) => {inserted_id = 9050}
10:37:51 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( thne001, stal001, 1, 0, 2016-05-09, 9.45, 11.10, 1, , gine001,  ) => {inserted_id = 9051}
